ZIP,Type,Percentage
11413,5_15,0.119
11413,15_25,0.143
11413,25_35,0.134
11413,35_45,0.126
11413,45_55,0.159
11413,55_65,0.113
11413,65above,0.148
10460,Below5,0.084
10460,5_14,0.149
10460,15_24,0.165
10460,25_34,0.165
10460,35_44,0.111
10460,45_54,0.147
10460,55_64,0.089
10460,65above,0.09
10455,Below5,0.093
10455,5_15,0.156
10455,15_25,0.151
10455,25_35,0.173
10455,35_45,0.123
10455,45_55,0.121
10455,55_65,0.095
10455,65above,0.088
11416,Below5,0.067
11416,5_14,0.131
11416,15_24,0.16
11416,25_34,0.144
11416,35_44,0.145
11416,45_54,0.14
11416,55_64,0.119
11416,65above,0.094
10456,Below5,0.082
10456,5_15,0.166
10456,15_25,0.17
10456,25_35,0.147
10456,35_45,0.122
10456,45_55,0.128
10456,55_65,0.103
10456,65above,0.082
10461,Below5,0.063
10461,5_14,0.102
10461,15_24,0.117
10461,25_34,0.166
10461,35_44,0.138
10461,45_54,0.149
10461,55_64,0.113
10461,65above,0.152
10121,Below5,NA
10121,5_15,NA
10121,15_25,NA
10121,25_35,NA
10121,35_45,NA
10121,45_55,NA
10121,55_65,NA
10121,65above,NA
11411,Below5,0.047
11411,5_14,0.097
11411,15_24,0.122
11411,25_34,0.111
11411,35_44,0.138
11411,45_54,0.139
11411,55_64,0.141
11411,65above,0.205
10005,Below5,0.041
10005,5_15,0.048
10005,15_25,0.162
10005,25_35,0.42
10005,35_45,0.215
10005,45_55,0.07
10005,55_65,0.027
10005,65above,0.017
10039,Below5,0.08
10039,5_14,0.14
10039,15_24,0.147
10039,25_34,0.179
10039,35_44,0.136
10039,45_54,0.123
10039,55_64,0.102
10039,65above,0.093
10044,Below5,0.057
10044,5_15,0.044
10044,15_25,0.12
10044,25_35,0.197
10044,35_45,0.151
10044,45_55,0.126
10044,55_65,0.128
10044,65above,0.177
10472,Below5,0.082
10472,5_14,0.148
10472,15_24,0.155
10472,25_34,0.166
10472,35_44,0.13
10472,45_54,0.122
10472,55_64,0.091
10472,65above,0.106
11422,Below5,0.063
11422,5_15,0.118
11422,15_25,0.144
11422,25_35,0.157
11422,35_45,0.118
11422,45_55,0.157
11422,55_65,0.133
11422,65above,0.11
11369,Below5,0.063
11369,5_14,0.107
11369,15_24,0.157
11369,25_34,0.162
11369,35_44,0.13
11369,45_54,0.141
11369,55_64,0.114
11369,65above,0.126
10112,Below5,NA
10112,5_15,NA
10112,15_25,NA
10112,25_35,NA
10112,35_45,NA
10112,45_55,NA
10112,55_65,NA
10112,65above,NA
11003,Below5,0.04
11003,5_14,0.117
11003,15_24,0.157
11003,25_34,0.14
11003,35_44,0.128
11003,45_54,0.152
11003,55_64,0.136
11003,65above,0.13
10280,Below5,0.083
10280,5_15,0.119
10280,15_25,0.053
10280,25_35,0.188
10280,35_45,0.239
10280,45_55,0.146
10280,55_65,0.098
10280,65above,0.074
11256,Below5,NA
11256,5_14,NA
11256,15_24,NA
11256,25_34,NA
11256,35_44,NA
11256,45_54,NA
11256,55_64,NA
11256,65above,NA
10037,Below5,0.075
10037,5_15,0.124
10037,15_25,0.105
10037,25_35,0.198
10037,35_45,0.123
10037,45_55,0.118
10037,55_65,0.122
10037,65above,0.135
11423,Below5,0.057
11423,5_14,0.108
11423,15_24,0.14
11423,25_34,0.138
11423,35_44,0.125
11423,45_54,0.15
11423,55_64,0.141
11423,65above,0.141
11692,Below5,0.07
11692,5_15,0.165
11692,15_25,0.137
11692,25_35,0.124
11692,35_45,0.121
11692,45_55,0.149
11692,55_65,0.12
11692,65above,0.114
11371,Below5,NA
11371,5_14,NA
11371,15_24,NA
11371,25_34,NA
11371,35_44,NA
11371,45_54,NA
11371,55_64,NA
11371,65above,NA
10069,Below5,0.094
10069,5_15,0.099
10069,15_25,0.049
10069,25_35,0.267
10069,35_45,0.214
10069,45_55,0.146
10069,55_65,0.086
10069,65above,0.045
10111,Below5,NA
10111,5_14,NA
10111,15_24,NA
10111,25_34,NA
10111,35_44,NA
10111,45_54,NA
10111,55_64,NA
10111,65above,NA
10153,Below5,NA
10153,5_15,NA
10153,15_25,NA
10153,25_35,NA
10153,35_45,NA
10153,45_55,NA
10153,55_65,NA
10153,65above,NA
10307,Below5,0.057
10307,5_14,0.143
10307,15_24,0.141
10307,25_34,0.13
10307,35_44,0.129
10307,45_54,0.193
10307,55_64,0.091
10307,65above,0.116
11001,Below5,0.05
11001,5_15,0.127
11001,15_25,0.119
11001,25_35,0.119
11001,35_45,0.126
11001,45_55,0.15
11001,55_65,0.152
11001,65above,0.157
11363,Below5,0.053
11363,5_14,0.131
11363,15_24,0.093
11363,25_34,0.099
11363,35_44,0.132
11363,45_54,0.164
11363,55_64,0.138
11363,65above,0.19
11005,Below5,0
11005,5_15,0
11005,15_25,0
11005,25_35,0.004
11005,35_45,0
11005,45_55,0.063
11005,55_65,0.06
11005,65above,0.873
11436,Below5,0.056
11436,5_14,0.136
11436,15_24,0.146
11436,25_34,0.152
11436,35_44,0.136
11436,45_54,0.159
11436,55_64,0.11
11436,65above,0.105
11352,Below5,NA
11352,5_15,NA
11352,15_25,NA
11352,25_35,NA
11352,35_45,NA
11352,45_55,NA
11352,55_65,NA
11352,65above,NA
10285,Below5,NA
10285,5_14,NA
10285,15_24,NA
10285,25_34,NA
10285,35_44,NA
10285,45_54,NA
10285,55_64,NA
10285,65above,NA
10174,Below5,NA
10174,5_15,NA
10174,15_25,NA
10174,25_35,NA
10174,35_45,NA
10174,45_55,NA
10174,55_65,NA
10174,65above,NA
10105,Below5,NA
10105,5_14,NA
10105,15_24,NA
10105,25_34,NA
10105,35_44,NA
10105,45_54,NA
10105,55_64,NA
10105,65above,NA
11433,Below5,0.065
11433,5_15,0.148
11433,15_25,0.16
11433,25_35,0.145
11433,35_45,0.129
11433,45_55,0.133
11433,55_65,0.11
11433,65above,0.11
