Zipcode	SCORE	GRADE
10017	5	A
11103	12	A
11225	29	
10301		
10011	34	
10005	11	A
10468	10	A
11213	37	
11216	13	A
10022	31	
10471	16	
10452		
11101	53	
11354	32	
10016	12	A
11235	12	A
11234		
11366	12	A
10003	10	A
10452	44	
10001	29	
10472	44	
10032	10	A
10002	12	A
11363	11	A
10019	12	A
10301	24	
11221	20	B
11217	37	
10022	13	A
10009	7	A
10022	12	A
11106	11	A
11354	26	
11433	7	
10456	22	B
10022	27	
11101	28	
10012	22	B
11233	48	
11421	32	
10014	36	
10310	12	A
10036	15	
10003	12	A
10001	12	A
10014	16	
10461	10	
11103	15	B
11211	8	A
10010	12	A
10001	12	A
11368	39	C
11220	18	
11102	7	A
11377	19	
10018	12	A
10306	15	
10314	4	A
11214		
11238	9	
10024	22	
10002	27	
10018		
11220	17	
11230	13	A
10013	22	
11201		
11355	17	
11215	10	A
10021	22	
10075	29	
11415	11	A
10005	10	A
11237	19	
11378	2	
10013	19	
11355	20	
11375	5	A
10019	20	
10037	12	A
10002	9	A
10457		
10017	13	A
10013		
10012	67	
11354	28	Not Yet Graded
11385	2	A
11229		
10014	10	A
10010	37	
11226	15	
11385	13	A
11417	10	A
	17	
10003	11	A
11215	26	
10001	24	
10036	23	
10036	25	
10013	11	A
10001	25	B
11373	8	A
11374	7	A
11236	18	
10013	38	
10306	7	A
10002	26	
10028	39	
10023		
11355	25	
11357	11	A
11226		
11220	17	B
11354	13	A
10013	17	
11237	134	
11208	26	Z
11372	13	A
11379	8	A
11374	61	
10012	12	A
10016	28	
10019	19	
10314	8	
10308	17	B
10012	12	A
11236	14	B
10463	8	A
10027	7	A
10458	18	
11220	31	
10036	10	A
10462	15	
11421	15	B
10002	10	A
10309	5	A
11419	7	A
11201	18	
11212		
11421	34	
10455	10	A
11232	30	
11356	10	A
11354	45	
10003	7	A
10466	19	
11205	10	
10016	37	C
11106	9	A
11214	2	Z
10025	29	
11355	29	
11414	13	A
11209	34	
10024		
10463	22	
11373	21	
11379	19	
11222	31	
11238	33	
10024	21	
11358		
11226	11	A
10012	35	
10031	28	C
10001	21	
11210	50	
	12	
10103	3	A
10005	12	A
10001	12	A
10019	12	
11355	21	
10457	48	
10038	7	A
10302	27	
11373	10	A
11104	13	A
10024	7	A
10013	17	
10011	13	A
11236	11	A
10019	26	
11228	27	
11222	26	Z
10036	17	
10454		
10454	11	A
10454	45	C
11367	7	A
11215	14	B
10016	9	A
11216	12	
10280	12	A
10036	13	A
10022	23	
11213	57	
10003	20	
11223	11	A
10065	25	Z
10013	50	
11230	13	A
11354	26	
11430	10	A
11355	10	A
